职位名称,薪资范围,公司名称,公司人数,工作经验
体育业务运维高级工程师,35,腾讯,2000,本科
运维开发工程师（SRE）,30,K2DATA,500,本科
大数据运维工程师,25,世纪怡嘉,500,本科
Linux系统运维工程师（实习）,4,中科弘云,50,硕士
数据处理专员/数据运维专员,10,国音智能科技  SpeakIn,500,本科
基础技术部-高级SRE运维-基础服务,40,美团,2000,本科
基础技术部-高级SRE运维工程师,40,美团,2000,本科
运维工程师,20,对啊网,2000,大专
中高级运维工程师（docker/k8s方向）(J10858),25,销售易,2000,大专
运维工程师,8,合力亿捷,2000,本科
大数据运维工程师--北京(J10921),30,销售易,2000,大专
中级运维开发工程师,30,蔷薇控股,500,本科
运维工程师,15,质心教育,500,本科
运维工程师,25,本来生活网,2000,本科
安全运维工程师,28,自如网,2000,本科
驻场网络运维,9,北京可利邦信息技术有限公司,500,大专
运维工程师,25,大麦科技,500,本科
openstack运维,30,中国电信云计算公司,2000,本科
云平台运维工程师,16,人民网,2000,本科
运维经理,33,同欣盈,50,本科
高级应用运维工程师,30,老虎集团,2000,本科
运维开发实习生,6,天眼查,2000,本科
运维实习生,6,博云,500,大专
实施运维工程师,10,Gridsum 国双,2000,本科
运维工程师,10,Gridsum 国双,2000,本科
EHR系统实施运维工程师,15,网宿科技,2000,本科
运维专家,50,北京天竺兴业软件技术有限公司,2000,本科
运维开发实习生,6,天眼查,2000,本科
运维实习生,6,博云,500,大专
实施运维工程师,10,Gridsum 国双,2000,本科
运维工程师,10,Gridsum 国双,2000,本科
EHR系统实施运维工程师,15,网宿科技,2000,本科
运维专家,50,北京天竺兴业软件技术有限公司,2000,本科
运维leader,55,北京天竺兴业软件技术有限公司,2000,本科
运维开发工程师,40,猿印教育,150,本科
系统运维架构师,50,火花思维,2000,本科
运维工程师,20,敦煌网,2000,本科
校招-运维工程师(J12224),5,东方国信,2000,本科
系统运维工程师,17,祥云智能,500,大专
应用运维工程师,20,祥云智能,500,大专
运维开发工程师-【效率工程】,30,快手,2000,本科
数据运维岗,20,联合信用征信,2000,本科
运维工程师,26,快成,2000,本科
中高级系统运维,35,北京小链科技有限责任公司,500,本科
大数据运维工程师,30,NIO蔚来,2000,本科
运维工程师,25,第四范式,2000,本科
桌面运维经理,60,快手,2000,本科
运维工程师,20,Flash express,500,本科
运维工程师,12,龙湾科技,500,大专
运维Leader,80,俊杰明通,500,本科
存储运维岗,25,华夏银行信用卡中心,2000,本科
运维开发工程师,30,畅聊天下,500,不限
OpenStack运维开发工程师,60,区块节点,150,本科
高级运维工程师,40,最右,2000,本科
